trade_date,pr,tr,dy,dy_pct_expanding,dy_realized
20070713,3512.585,3823.138,0.015025177846555951,,0.01793398833160298
20070716,3393.221,3694.092,0.015725471429434406,,0.01799473641759497
20070717,3439.316,3744.275,0.015148206404969984,,0.016973417932140356
20070718,3455.171,3761.536,0.015078646573760415,,0.016973205393689517
20070719,3427.623,3732.612,0.015433884433018281,,0.017119148082100244
20070720,3540.013,3855.458,0.015061833312438428,,0.01723869879729545
20070723,3773.104,4109.319,0.013934455801510101,,0.016633880627860753
20070724,3779.896,4116.716,0.01386061680191212,,0.0164761677371279
20070725,3892.083,4238.901,0.01301207245528387,,0.01499079710116824
20070726,3932.663,4283.097,0.012873515455628398,,0.014976646266285032
20070727,3986.812,4342.071,0.012639862374975618,,0.014780219449815002
20070730,4103.804,4469.487,0.012279522851213483,,0.014780219449815002
20070731,4164.313,4535.389,0.012101349511892692,,0.014780475829489825
20070801,3995.39,4351.413,0.012612843826187832,,0.014779985303522647
20070802,4128.084,4496.052,0.012234272200832405,,0.014807190112490876
20070803,4199.184,4573.49,0.011968413419508916,,0.01460003368899776
20070806,4344.697,4731.975,0.011567626262624493,,0.014599534478797471
20070807,4363.098,4752.126,0.011541940431605377,,0.01462297138600177
20070808,4274.456,4655.58,0.011781292686895492,,0.01462297138600177
20070809,4339.993,4728.323,0.011891629900951214,,0.014915429521869417
20070810,4303.016,4688.339,0.012054807647246096,,0.014967893374051355
20070813,4309.879,4695.816,0.012035585771676493,,0.014967793371878368
20070814,4364.188,4754.989,0.011885977916053536,,0.014967961708677535
20070815,4364.596,4755.433,0.011884866821466604,,0.014967961708677535
20070816,4296.476,4681.213,0.012042536741722242,,0.014845416442514026
20070817,4217.177,4594.813,0.012268945133823421,,0.014845274210783188
20070820,4489.147,4891.138,0.011525778788923894,,0.014845274128064911
20070821,4563.694,4972.36,0.011281188342335949,,0.014616132450286035
20070822,4596.338,5008.154,0.011246359820800543,,0.014662086910928629
20070823,4658.624,5076.021,0.011095974766040184,,0.014661750837051013
20070824,4751.487,5177.203,0.010878828546963235,,0.014660530068515643
20070827,4782.9,5211.431,0.010807476571721328,,0.014660629198607333
20070828,4794.055,5223.586,0.010782434836357532,,0.014660736281649323
20070829,4712.664,5134.902,0.010968655019626695,,0.014660736281649323
20070830,4796.764,5226.537,0.01077629118011916,,0.014660502657720675
20070831,4894.487,5333.016,0.010561139591597086,,0.014660303491223825
20070903,5118.684,5577.3,0.01009856448185847,,0.014660303491223825
20070904,5091.302,5547.464,0.010152703610145688,,0.014659523273900188
20070905,5137.758,5598.083,0.01006102939299224,,0.01465965244395706
20070906,5201.401,5667.428,0.009937925234389931,,0.01465965244395706
20070907,5108.775,5566.503,0.010117992264295533,,0.014659144060103824
20070910,5202.21,5668.31,0.009936365058930044,,0.014659243872473304
20070911,4935.77,5377.998,0.010472693692787452,,0.014658967766837172
20070912,5038.363,5489.783,0.010259400838897096,,0.014658762862298502
20070913,5209.683,5676.452,0.009921851575827834,,0.014658004325162066
20070914,5331.345,5809.015,0.009695522966668963,,0.014658094994741244
20070917,5514.923,6009.042,0.009372957754653332,,0.014658272062581412
20070918,5500.99,5993.861,0.009396720063938829,,0.014658158339145189
20070919,5414.062,5899.144,0.009547593489791372,,0.014658158339145189
20070920,5481.642,5972.779,0.009429896117258422,,0.014658167873237149
20070921,5404.172,5888.368,0.009565061177447024,,0.014658066058704788
20070924,5445.435,5933.327,0.00949249499761595,,0.014657661092275731
20070925,5313.858,5789.962,0.009642057369756058,,0.014264842885144624
20070926,5188.436,5653.302,0.009875138421431274,,0.014264842885144624
20070927,5280.091,5753.169,0.00970372461789392,,0.014264847750973919
20070928,5426.17,5912.336,0.009442309823626576,,0.01426403691229039
20071008,5386.067,5868.641,0.009512800029465224,,0.014264225228730831
20071009,5350.082,5829.431,0.009576699326461532,,0.014263847026596777
20071010,5395.835,5879.284,0.009495612487416594,,0.014263965734457873
20071011,5411.673,5896.54,0.009467715858109916,,0.014263474828561495
20071012,5388.618,5871.419,0.009508168020569559,,0.014263220116236708
20071015,5619.737,6123.246,0.00911722367543314,,0.014263312863116884
20071016,5629.017,6133.357,0.009102057643982834,,0.014262667861568712
20071017,5577.78,6077.529,0.009185668350662687,,0.014262667861568712
20071018,5358.985,5839.132,0.009560911057336106,,0.014262883949829774
20071019,5338.261,5816.551,0.00959797446930337,,0.014262649395483828
20071022,5132.211,5592.039,0.009983188593507776,,0.014262107690159231
20071023,5194.462,5659.868,0.009863532402684776,,0.014261737462157642
20071024,5175.197,5638.876,0.009900250029422023,,0.014261737462157642
20071025,4829.807,5262.54,0.010608192515669579,,0.01426155583083788
20071026,4867.175,5303.257,0.010526829796334333,,0.014261341769467917
20071029,5049.463,5501.877,0.01014679812154738,,0.01426130835451822
20071030,5132.299,5592.135,0.009983061010146194,,0.014261342416078682
20071031,5185.225,5649.802,0.009881160474066227,,0.014261331249836084
20071101,5021.786,5471.72,0.010202790357449342,,0.01426118322224057
20071102,4813.297,5244.551,0.010644726427223191,,0.01426118322224057
20071105,4806.348,5236.98,0.010660086251842036,,0.014260734846842205
20071106,4784.266,5212.919,0.010709288370748716,,0.014260734846842205
20071107,4780.481,5208.795,0.010717791063335022,,0.014260758674028207
